ZCTA,Diabetes_15to19,Diabetes_20to24,Diabetes25to34,Diabetes_35to44,Diabetes_45to54,Diabetes_55to64,Diabetes_65to74,Diabetes_75to84,Diabetes_85up
ZCTA33436,,,,,6,8,12,17,13
ZCTA33435,,,,2,,11,18,11,5
ZCTA33434,,,,,2,2,8,4,9
ZCTA33433,,,,,,1,,,
ZCTA33433,,,,,2,2,4,6,14
ZCTA33432,,,,,,2,6,6,4
ZCTA33431,,,,1,,,4,2,6
ZCTA33430,,,1,2,2,8,12,7,2
ZCTA33428,,,,,3,10,10,9,4
ZCTA33426,,,,,,,8,10,10
ZCTA33421,,,,1,,,,,
ZCTA33418,,,,1,2,4,7,6,12
ZCTA33417,,,1,1,3,12,14,16,22
ZCTA33415,,,,1,7,14,10,14,10
ZCTA33414,,,,,4,6,9,9,12
ZCTA33413,,,,,,1,3,2,4
ZCTA33412,,,,,1,3,3,3,2
ZCTA33411,,,,5,4,10,24,22,16
ZCTA33410,,,,,1,5,9,6,7
ZCTA33409,,,,,1,5,9,9,4
ZCTA33408,,,,,,5,1,5,1
ZCTA33407,,,,4,5,14,11,8,2
ZCTA33406,,,,,1,2,8,6,6
ZCTA33405,,,,,,1,4,7,7
ZCTA33404,,,,1,9,13,15,15,10
ZCTA33403,,,,1,,3,7,8,1
ZCTA33401,,,1,1,2,7,13,7,6
ZCTA33351,,,,1,5,10,8,4,6
ZCTA33334,,,,,6,1,6,3,1
ZCTA33332,,,,,,1,,2,
ZCTA33331,,,,,2,,4,3,7
ZCTA33330,,,,,,1,2,3,1
ZCTA33328,,,,,,3,4,8,3
ZCTA33327,,,,,,,2,1,1
ZCTA33326,,,,1,1,2,2,4,1
ZCTA33325,,,,,1,2,6,4,2
ZCTA33324,,,,,7,6,7,12,5
ZCTA33323,,,,,2,3,5,5,
ZCTA33322,,,1,1,5,8,9,17,12
ZCTA33321,,,,1,3,13,20,18,20
ZCTA33320,,,,,,,,,1
ZCTA33319,,,2,2,4,15,19,30,17
ZCTA33318,,,,,,1,,,
ZCTA33317,,,,,3,9,7,11,2
ZCTA33316,,,,,2,1,5,1,1
ZCTA33315,,,,,2,,3,4,2
ZCTA33314,,,,,2,3,7,3,6
ZCTA33313,,,,5,16,19,16,24,8
ZCTA33312,2,,2,3,5,19,16,7,10
ZCTA33311,,,3,7,17,49,35,44,14
ZCTA33309,,,,3,1,10,17,9,5
ZCTA33308,,,1,1,1,4,10,10,11
ZCTA33306,,,,,,,,1,
ZCTA33305,,,,,3,,3,1,2
ZCTA33304,,,,1,6,5,8,8,3
ZCTA33301,,,,,,,1,1,
ZCTA33196,,,,,,5,11,6,14
ZCTA33194,,,,,,,1,2,2
ZCTA33193,1,,,,4,6,5,13,12
ZCTA33190,,1,,,2,1,3,1,4
ZCTA33189,,,,1,3,12,12,7,3
ZCTA33187,,,,,2,4,4,3,3
ZCTA33186,,,,1,3,4,14,14,19
ZCTA33185,,,,,,2,2,12,11
ZCTA33184,,,,,3,,6,5,13
ZCTA33183,,,,1,1,2,10,14,14
ZCTA33182,,,,,,4,6,1,4
ZCTA33181,,,,,4,6,7,8,2
ZCTA33180,,,,1,1,4,4,4,11
ZCTA33179,,,1,1,10,13,19,27,12
ZCTA33178,,,1,,,2,2,8,6
ZCTA33177,,,1,1,5,12,18,28,16
ZCTA33176,,,,1,2,8,22,16,25
ZCTA33175,,,,1,5,4,25,19,26
ZCTA33174,,,,,2,4,16,11,13
ZCTA33173,,,,,1,10,9,13,14
ZCTA33172,,,,,1,5,6,8,19
ZCTA33170,,,,,5,3,7,12,7
ZCTA33169,,1,,3,8,17,19,21,14
ZCTA33168,,,,2,5,17,23,9,15
ZCTA33167,,,,2,2,10,11,11,5
ZCTA33166,,,1,,1,3,3,6,11
ZCTA33165,,,,,6,10,12,22,25
ZCTA33162,,1,,3,2,19,13,21,10
ZCTA33161,,,,1,4,17,26,25,22
ZCTA33160,,,,,2,4,10,13,21
ZCTA33158,,,,,,,1,1,1
ZCTA33157,,,1,1,11,30,28,33,26
ZCTA33156,,,,,1,3,2,8,11
ZCTA33155,,,,,1,9,18,19,22
ZCTA33154,,,,,,,1,3,8
ZCTA33150,,,1,2,9,13,19,18,6
ZCTA33149,,,,,1,,1,2,2
ZCTA33147,,,2,4,12,23,33,38,19
ZCTA33146,,,,,,,1,1,2
ZCTA33145,,,,1,2,5,8,14,9
ZCTA33144,,,1,,1,4,5,13,10
ZCTA33143,,,2,,,4,5,6,9
ZCTA33142,,1,3,3,16,23,39,39,20
ZCTA33141,,,,1,1,1,4,2,11
ZCTA33140,,,,,1,1,1,4,9
ZCTA33139,,,,,1,6,8,8,6
ZCTA33138,,,1,1,4,7,14,7,11
ZCTA33137,,,,,3,5,6,4,5
ZCTA33136,,,,1,4,12,9,4,5
ZCTA33135,,,,1,8,7,16,24,18
ZCTA33134,1,,,,2,2,12,9,16
ZCTA33133,,,,,5,7,10,8,16
ZCTA33132,,,,,2,,1,,2
ZCTA33131,,,,,,3,1,,1
ZCTA33130,,,,,,4,11,12,10
ZCTA33129,,,,,,1,,3,2
ZCTA33128,,,,,1,2,3,9,3
ZCTA33127,,1,1,7,12,15,20,12,10
ZCTA33126,,,,1,2,8,14,16,30
ZCTA33125,,,3,,3,14,20,17,26
ZCTA33122,,,,,,,,,1
ZCTA33076,,,,,,4,1,4,3
ZCTA33073,,,1,1,,2,3,6,
ZCTA33071,,,1,,1,7,7,3,3
ZCTA33070,,,,,1,2,2,1,1
ZCTA33069,,,,2,1,5,6,7,10
ZCTA33068,,,1,4,6,14,15,11,4
ZCTA33067,,,,,2,5,1,1,1
ZCTA33066,,,,1,,5,4,10,10
ZCTA33065,,1,3,,5,11,15,9,8
ZCTA33064,,1,1,1,4,17,16,14,8
ZCTA33063,,,,2,8,19,33,20,18
ZCTA33062,,,,1,2,6,6,9,8
ZCTA33060,,,2,3,4,11,10,12,8
ZCTA33056,,,,2,6,20,19,19,8
ZCTA33055,,1,1,2,3,20,21,28,14
ZCTA33054,,1,,1,14,24,19,21,16
ZCTA33050,,,,,1,2,2,1,2
ZCTA33043,,,,,,1,1,,1
ZCTA33042,,,,1,,2,,1,1
ZCTA33040,,,,,3,6,8,7,7
ZCTA33037,,,,,2,4,7,3,1
ZCTA33036,,,,,,1,2,,1
ZCTA33035,,,,,2,4,3,10,1
ZCTA33034,,,,1,4,5,7,13,6
ZCTA33033,,1,1,,10,17,20,17,18
ZCTA33032,,,,1,5,10,10,12,6
ZCTA33031,,,,,1,1,2,2,2
ZCTA33030,,1,,4,7,6,13,12,12
ZCTA33029,,,,1,1,1,7,6,2
ZCTA33028,,,2,,1,,3,4,4
ZCTA33027,,,1,1,2,8,9,21,19
ZCTA33026,,,,1,2,5,10,5,9
